RCDTS,Type,District,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Avg Teaching Exp,Bachelor Degree,Masters Degree ,Teacher Retention Rate,Teacher Avg Salary,Admin Avg Salary
390550020260000,District,Maroa Forsyth CUSD 2,Maroa,Macon,UNIT,MEDIUM,1179.0,24.2,20.0,14.7,49.3,50.7,86.6,56275.35,100375.0
390550030260000,District,Mt Zion CUSD 3,Mt Zion,Macon,UNIT,LARGE,2394.0,20.0,17.0,14.9,43.5,56.5,89.2,56819.87,110774.58
390550090260000,District,Sangamon Valley CUSD 9,Niantic,Macon,UNIT,MEDIUM,724.0,46.4,18.0,13.3,72.4,27.6,87.6,48398.36,72824.17
390550110260000,District,Warrensburg-Latham CUSD 11,Warrensburg,Macon,UNIT,MEDIUM,942.0,37.9,20.0,14.8,50.4,49.6,88.6,52739.18,94907.57
390550150260000,District,Meridian CUSD 15,Macon,Macon,UNIT,MEDIUM,1039.0,35.4,16.0,16.5,59.8,40.2,85.8,54264.41,102654.0
390550610250000,District,Decatur SD 61,Decatur,Macon,UNIT,LARGE,8923.0,66.2,19.0,11.6,56.4,43.6,67.4,47425.72,89805.37
390740050260000,District,Bement CUSD 5,Bement,Piatt,UNIT,SMALL,312.0,49.4,12.0,11.8,69.8,30.2,83.5,37983.71,100773.33
390740250260000,District,Monticello CUSD 25,Monticello,Piatt,UNIT,MEDIUM,1623.0,23.1,21.0,13.9,42.3,57.7,88.0,50747.33,104047.71
390740570260000,District,Deland-Weldon CUSD 57,De Land,Piatt,UNIT,SMALL,202.0,52.0,11.0,9.5,60.9,39.1,75.0,36972.33,79000.0
390741000260000,District,Cerro Gordo CUSD 100,Cerro Gordo,Piatt,UNIT,MEDIUM,486.0,38.3,17.0,16.4,52.1,42.3,84.3,46657.47,91463.85
400070400260000,District,Calhoun CUSD 40,Hardin,Calhoun,UNIT,SMALL,459.0,43.8,16.0,13.9,52.5,47.5,92.0,42873.36,80321.75
400070420260000,District,Brussels CUSD 42,Brussels,Calhoun,UNIT,SMALL,125.0,37.6,7.0,8.3,87.5,0.0,89.2,35051.27,69064.17
400310010260000,District,Carrollton CUSD 1,Carrollton,Greene,UNIT,MEDIUM,545.0,58.2,15.0,11.9,53.3,46.7,87.5,42723.08,105108.1
400310030260000,District,North Greene CUSD 3,White Hall,Greene,UNIT,MEDIUM,861.0,63.4,18.0,13.6,70.6,26.3,91.3,38670.41,71043.86
400310100260000,District,Greenfield CUSD 10,Greenfield,Greene,UNIT,SMALL,453.0,46.8,16.0,16.9,70.9,27.9,92.7,47919.71,79332.33
400421000260000,District,Jersey CUSD 100,Jerseyville,Jersey,UNIT,LARGE,2544.0,42.8,23.0,17.4,46.8,52.4,89.0,59494.06,89046.92
400560010260000,District,Carlinville CUSD 1,Carlinville,Macoupin,UNIT,MEDIUM,1459.0,46.6,20.0,14.5,51.1,48.9,89.6,57019.58,95441.31
400560020260000,District,Northwestern CUSD 2,Palmyra,Macoupin,UNIT,SMALL,366.0,58.2,15.0,12.9,66.2,29.5,91.5,41033.29,75004.74
400560050260000,District,Mount Olive CUSD 5,Mount Olive,Macoupin,UNIT,SMALL,473.0,41.0,14.0,12.9,52.4,45.0,82.9,49713.29,89275.84
400560060260000,District,Staunton CUSD 6,Staunton,Macoupin,UNIT,MEDIUM,1313.0,37.0,17.0,14.3,58.2,41.8,91.3,61859.75,95914.87
400560070260000,District,Gillespie CUSD 7,Gillespie,Macoupin,UNIT,MEDIUM,1325.0,76.5,21.0,15.1,38.1,61.9,93.4,61084.91,95021.25
400560080260000,District,Bunker Hill CUSD 8,Bunker Hill,Macoupin,UNIT,MEDIUM,591.0,48.7,19.0,12.1,44.2,55.8,74.4,49204.81,94613.05
400560090260000,District,Southwestern CUSD 9,Brighton,Macoupin,UNIT,MEDIUM,1422.0,38.3,20.0,16.8,49.9,48.9,80.9,56825.61,104776.67
400560340260000,District,North Mac CUSD 34,Girard,Macoupin,UNIT,MEDIUM,1336.0,52.0,18.0,14.9,44.1,55.9,82.4,48699.91,88279.67
410570010260000,District,Roxana CUSD 1,Roxana,Madison,UNIT,LARGE,1889.0,47.1,21.0,16.2,38.3,60.9,85.9,68760.11,113002.25
410570020260000,District,Triad CUSD 2,Troy,Madison,UNIT,LARGE,3786.0,22.2,23.0,14.4,43.9,56.1,93.2,58200.5,96437.0
410570030260000,District,Venice CUSD 3,Venice,Madison,UNIT,SMALL,66.0,97.0,8.0,13.8,68.4,31.6,80.0,52353.26,107456.5
410570050260000,District,Highland CUSD 5,Highland,Madison,UNIT,LARGE,2868.0,29.5,21.0,15.6,42.0,58.0,91.5,56889.4,94370.97
410570070260000,District,Edwardsville CUSD 7,Edwardsville,Madison,UNIT,LARGE,7531.0,17.8,24.0,14.1,42.9,56.9,88.1,51715.75,85455.04
410570080260000,District,Bethalto CUSD 8,Bethalto,Madison,UNIT,LARGE,2476.0,47.5,22.0,16.0,44.2,55.8,88.3,59458.53,98981.0
410570090260000,District,Granite City CUSD 9,Granite City,Madison,UNIT,LARGE,6160.0,62.2,23.0,17.3,48.2,50.8,86.1,66215.86,109074.78
410570100260000,District,Collinsville CUSD 10,Collinsville,Madison,UNIT,LARGE,6350.0,58.7,19.0,12.6,49.9,49.8,91.0,59431.75,100991.08
410570110260000,District,Alton CUSD 11,Alton,Madison,UNIT,LARGE,6315.0,57.1,26.0,14.3,51.8,46.7,82.5,51589.02,93232.63
410570120260000,District,Madison CUSD 12,Madison,Madison,UNIT,MEDIUM,700.0,96.9,17.0,9.9,56.1,43.9,73.6,46280.6,100569.08
410570140160000,District,East Alton-Wood River CHSD 14,Wood River,Madison,HIGH SCHOOL,SMALL,572.0,61.5,21.0,14.8,51.5,45.5,90.0,59242.86,111631.76
440630120260000,District,Johnsburg CUSD 12,Johnsburg,McHenry,UNIT,LARGE,1861.0,24.4,22.0,14.3,33.3,65.9,85.3,60594.01,103451.16
440630190240000,District,Alden Hebron SD 19,Hebron,McHenry,UNIT,SMALL,415.0,45.5,14.0,9.3,75.4,24.6,75.3,43524.25,99677.33
440630500260000,District,Harvard CUSD 50,Harvard,McHenry,UNIT,LARGE,2732.0,58.3,16.0,10.9,49.5,49.5,86.5,48345.39,96453.92
440631540160000,District,Marengo CHSD 154,Marengo,McHenry,HIGH SCHOOL,MEDIUM,701.0,28.5,19.0,13.6,20.7,76.6,91.3,71293.75,115395.25
440631550160000,District,CHSD 155,Crystal Lake,McHenry,HIGH SCHOOL,LARGE,6113.0,20.2,18.0,16.3,13.7,86.0,93.5,92641.29,125127.24
440631560160000,District,McHenry CHSD 156,McHenry,McHenry,HIGH SCHOOL,MEDIUM,2221.0,29.4,24.0,13.7,37.2,62.8,83.4,70559.52,110265.02
440631570160000,District,Richmond-Burton CHSD 157,Richmond,McHenry,HIGH SCHOOL,MEDIUM,666.0,10.1,18.0,13.7,23.4,76.6,92.1,59443.68,102490.24
440631580220000,District,Huntley Community School District 158,Algonquin,McHenry,UNIT,LARGE,9601.0,10.5,23.0,12.0,35.3,64.3,90.2,58895.11,96640.57
440632000260000,District,Woodstock CUSD 200,Woodstock,McHenry,UNIT,LARGE,6419.0,39.6,22.0,12.4,32.3,67.4,89.4,61169.25,117119.07
450670030260000,District,Valmeyer CUSD 3,Valmeyer,Monroe,UNIT,SMALL,470.0,18.5,18.0,11.6,54.6,45.4,94.5,40753.39,84360.08
450670040260000,District,Columbia CUSD 4,Columbia,Monroe,UNIT,LARGE,2012.0,12.3,22.0,16.4,40.9,59.1,91.8,51203.98,94307.37
450670050260000,District,Waterloo CUSD 5,Waterloo,Monroe,UNIT,LARGE,2641.0,19.8,22.0,15.7,30.1,69.9,93.6,49490.77,99181.42
450790010220000,District,Coulterville USD 1,Coulterville,Randolph,UNIT,SMALL,212.0,67.9,13.0,12.0,49.0,51.0,86.7,46656.92,83428.5
450791320260000,District,Red Bud CUSD 132,Red Bud,Randolph,UNIT,MEDIUM,1014.0,41.9,21.0,13.5,44.5,54.1,92.5,50539.99,89991.09
450791380260000,District,Steeleville CUSD 138,Steeleville,Randolph,UNIT,SMALL,471.0,37.6,18.0,14.0,31.3,68.7,90.5,45316.32,100003.54
450791390260000,District,Chester CUSD 139,Chester,Randolph,UNIT,MEDIUM,992.0,50.4,21.0,15.5,36.8,63.2,89.3,48038.42,87251.7
450791400260000,District,Sparta CUSD 140,Sparta,Randolph,UNIT,MEDIUM,1229.0,53.9,19.0,12.0,45.5,54.5,86.9,44122.16,74271.23
470521700220000,District,Dixon USD 170,Dixon,Lee,UNIT,LARGE,2716.0,47.5,23.0,15.9,37.1,62.9,90.4,57753.09,97504.0
470522710260000,District,Paw Paw CUSD 271,Paw Paw,Lee,UNIT,SMALL,196.0,35.7,15.0,9.4,53.1,46.9,80.8,41120.73,173108.0
470522720260000,District,Amboy CUSD 272,Amboy,Lee,UNIT,MEDIUM,693.0,37.2,15.0,14.8,58.8,41.2,86.5,47435.98,105478.03
470522750260000,District,Ashton-Franklin Center CUSD 275,Ashton,Lee,UNIT,MEDIUM,503.0,40.6,18.0,19.7,45.4,52.0,73.1,53041.58,116290.4
470712120170000,District,Rochelle Twp HSD 212,Rochelle,Ogle,HIGH SCHOOL,MEDIUM,912.0,22.0,17.0,16.2,26.8,71.5,86.4,68344.85,105574.83
470712200260000,District,Oregon CUSD 220,Oregon,Ogle,UNIT,MEDIUM,1427.0,45.1,20.0,13.8,45.3,54.7,83.8,59260.65,94657.48
470712210260000,District,Forrestville Valley CUSD 221,Forreston,Ogle,UNIT,MEDIUM,831.0,32.3,21.0,18.5,48.8,51.2,82.4,55493.51,93129.62
470712220260000,District,Polo CUSD 222,Polo,Ogle,UNIT,MEDIUM,578.0,46.5,16.0,14.5,39.0,58.8,84.4,51421.66,100755.0
470712230260000,District,Meridian CUSD 223,Stillman Valley,Ogle,UNIT,MEDIUM,1664.0,26.7,22.0,15.5,38.2,61.8,85.1,51416.06,97464.66
470712260260000,District,Byron CUSD 226,Byron,Ogle,UNIT,MEDIUM,1545.0,20.6,21.0,16.1,32.8,67.2,87.7,74926.25,117416.78
470980010260000,District,Erie CUSD 1,Erie,Whiteside,UNIT,MEDIUM,649.0,28.8,15.0,16.4,42.5,57.5,92.9,64139.05,110476.17
470980020260000,District,River Bend CUSD 2,Fulton,Whiteside,UNIT,MEDIUM,952.0,37.2,21.0,18.0,53.5,46.5,89.7,49231.12,88076.8
470980030260000,District,Prophetstown-Lyndon-Tampico CUSD3,Prophetstown,Whiteside,UNIT,MEDIUM,841.0,50.7,16.0,15.5,53.5,46.5,83.0,43585.93,86706.16
470980050260000,District,Sterling CUSD 5,Sterling,Whiteside,UNIT,LARGE,3407.0,59.1,20.0,14.7,45.0,55.0,87.0,55541.53,92099.79
470980060260000,District,Morrison CUSD 6,Morrison,Whiteside,UNIT,MEDIUM,1007.0,36.9,13.0,13.7,38.7,61.3,84.6,52195.42,106201.62
470983010170000,District,Rock Falls Twp HSD 301,Rock Falls,Whiteside,HIGH SCHOOL,SMALL,649.0,49.9,22.0,16.6,29.3,70.7,92.9,67265.42,107760.55
480721500250000,District,Peoria SD 150,Peoria,Peoria,UNIT,LARGE,13222.0,69.0,19.0,12.5,48.3,50.2,79.4,53029.76,91003.28
480722650260000,District,Farmington Central CUSD 265,Farmington,Peoria,UNIT,MEDIUM,1380.0,40.6,19.0,12.7,66.7,33.3,81.9,49084.02,78899.62
480723090260000,District,Brimfield CUSD 309,Brimfield,Peoria,UNIT,MEDIUM,701.0,18.4,20.0,14.0,49.0,51.0,92.1,52333.52,110464.5
480723100160000,District,Limestone CHSD 310,Peoria,Peoria,HIGH SCHOOL,MEDIUM,1093.0,43.0,18.0,13.3,46.9,48.8,92.2,60067.02,99682.8
480723210260000,District,Il Valley Central USD 321,Chillicothe,Peoria,UNIT,LARGE,2121.0,38.9,20.0,14.2,64.8,34.5,89.7,48018.14,87714.14
480723220260000,District,Elmwood CUSD 322,Elmwood,Peoria,UNIT,MEDIUM,690.0,15.1,19.0,16.2,60.9,39.1,85.6,53191.04,98021.45
480723230260000,District,Dunlap CUSD 323,Peoria,Peoria,UNIT,LARGE,4487.0,13.0,24.0,12.1,47.6,52.4,86.2,53173.45,104303.26
480723250260000,District,Peoria Heights CUSD 325,Peoria Heights,Peoria,UNIT,MEDIUM,768.0,65.9,20.0,13.2,65.8,34.2,84.5,46351.68,102460.33
480723260260000,District,Princeville CUSD 326,Princeville,Peoria,UNIT,MEDIUM,700.0,29.3,19.0,14.1,41.1,57.0,85.1,56550.05,99369.0
480723270260000,District,Illini Bluffs CUSD 327,Glasford,Peoria,UNIT,MEDIUM,926.0,28.0,18.0,13.0,58.7,41.3,88.5,45229.96,106440.28
490810300170000,District,United Twp HSD 30,East Moline,Rock Island,HIGH SCHOOL,MEDIUM,1700.0,62.4,13.0,14.2,49.2,44.3,90.0,64776.56,105072.49
490810400220000,District,Moline-Coal Valley CUSD 40,Moline,Rock Island,UNIT,LARGE,7288.0,53.2,23.0,14.9,38.7,61.3,85.4,67671.86,111055.92
490810410250000,District,Rock Island SD 41,Rock Island,Rock Island,UNIT,LARGE,6417.0,54.6,22.0,14.3,47.7,51.8,87.0,70774.76,106279.57
490811000260000,District,Riverdale CUSD 100,Port Byron,Rock Island,UNIT,MEDIUM,1172.0,22.8,23.0,14.0,67.1,31.5,91.9,49338.27,90777.31
490812000260000,District,Sherrard CUSD 200,Sherrard,Rock Island,UNIT,MEDIUM,1464.0,28.6,16.0,12.8,51.5,48.5,85.3,45018.41,87326.52
490813000260000,District,Rockridge CUSD 300,Taylor Ridge,Rock Island,UNIT,MEDIUM,1081.0,20.7,19.0,13.8,46.2,51.1,89.2,54914.65,103816.6
500820090260000,District,Lebanon CUSD 9,Lebanon,Saint Clair,UNIT,MEDIUM,571.0,41.3,15.0,17.0,57.9,41.5,89.4,55864.7,93616.6
500820190260000,District,Mascoutah CUD 19,Mascoutah,Saint Clair,UNIT,LARGE,4037.0,22.2,22.0,13.0,37.7,62.3,88.3,51299.61,92161.25
500820400260000,District,Marissa CUSD 40,Marissa,Saint Clair,UNIT,MEDIUM,583.0,58.8,14.0,13.6,49.5,50.5,89.4,46599.9,90257.59
500820600260000,District,New Athens CUSD 60,New Athens,Saint Clair,UNIT,MEDIUM,505.0,23.6,19.0,13.3,50.0,50.0,88.0,46410.77,92295.79
500820770160000,District,Freeburg CHSD 77,Freeburg,Saint Clair,HIGH SCHOOL,SMALL,639.0,13.5,21.0,13.6,25.6,74.4,95.4,61427.73,93986.67
500821870260000,District,Cahokia CUSD 187,Cahokia,Saint Clair,UNIT,LARGE,3433.0,88.5,23.0,15.1,52.7,46.0,80.6,60670.11,99262.57
500821880220000,District,Brooklyn UD 188,Lovejoy,Saint Clair,UNIT,SMALL,124.0,99.2,2.0,13.6,70.0,30.0,83.3,50134.85,113291.51
500821890220000,District,East St Louis SD 189,East Saint Louis,Saint Clair,UNIT,LARGE,5718.0,82.5,17.0,10.8,43.2,56.1,75.8,63392.77,97685.79
500821960260000,District,Dupo CUSD 196,Dupo,Saint Clair,UNIT,MEDIUM,1040.0,58.3,17.0,11.7,57.1,42.9,91.3,47795.87,96239.27
500822010170000,District,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,LARGE,4735.0,45.1,19.0,15.9,33.1,66.1,92.8,73644.55,108767.39
500822030170000,District,O Fallon Twp HSD 203,O Fallon,Saint Clair,HIGH SCHOOL,MEDIUM,2443.0,21.5,20.0,14.7,23.9,73.9,94.7,62382.4,111454.35
510652000260000,District,Greenview CUSD 200,Greenview,Menard,UNIT,SMALL,232.0,43.1,14.0,10.4,56.0,44.0,83.3,43397.09,86215.77
510652020260000,District,Porta CUSD 202,Petersburg,Menard,UNIT,MEDIUM,1145.0,40.2,18.0,15.0,49.4,49.4,90.1,45559.48,98200.41
510652130260000,District,Athens CUSD 213,Athens,Menard,UNIT,MEDIUM,1120.0,32.2,20.0,14.6,63.8,36.2,89.2,44857.12,100527.02
510840010260000,District,Tri City CUSD 1,Buffalo,Sangamon,UNIT,MEDIUM,564.0,37.6,16.0,12.1,84.4,15.6,71.7,40704.82,93040.58
510840050260000,District,Ball Chatham CUSD 5,Chatham,Sangamon,UNIT,LARGE,4809.0,20.1,23.0,13.4,54.9,44.7,87.6,50678.58,88093.0
510840080260000,District,Pleasant Plains CUSD 8,Pleasant Plains,Sangamon,UNIT,MEDIUM,1269.0,10.9,23.0,15.9,61.9,38.1,91.5,65212.38,106814.27
510840100260000,District,Auburn CUSD 10,Auburn,Sangamon,UNIT,MEDIUM,1342.0,35.2,23.0,16.1,55.3,42.3,86.9,47109.33,95048.03
510840110260000,District,Pawnee CUSD 11,Pawnee,Sangamon,UNIT,MEDIUM,605.0,27.1,15.0,14.1,58.3,41.7,86.0,50809.36,93622.0
510840140260000,District,Riverton CUSD 14,Riverton,Sangamon,UNIT,MEDIUM,1387.0,53.1,19.0,12.4,63.1,36.9,81.9,51811.19,83681.25
510840150260000,District,Williamsville CUSD 15,Williamsville,Sangamon,UNIT,MEDIUM,1543.0,7.9,21.0,14.4,54.3,44.6,87.9,49179.93,104260.52
510840160260000,District,New Berlin CUSD 16,New Berlin,Sangamon,UNIT,MEDIUM,936.0,33.4,18.0,10.7,48.0,52.0,86.5,46047.91,97595.5
510841860250000,District,Springfield SD 186,Springfield,Sangamon,UNIT,LARGE,14295.0,67.5,20.0,14.6,47.2,52.6,89.9,59438.63,99802.81
530601260260000,District,Havana CUSD 126,Havana,Mason,UNIT,MEDIUM,946.0,55.6,18.0,16.2,33.4,66.6,86.2,50463.47,91481.77
530601890260000,District,Illini Central CUSD 189,Mason City,Mason,UNIT,MEDIUM,708.0,39.8,10.0,11.6,66.3,33.7,84.8,43717.74,78016.72
530601910260000,District,Midwest Central CUSD 191,Manito,Mason,UNIT,MEDIUM,942.0,55.0,16.0,14.4,56.8,43.2,86.6,51344.31,84981.21
530903030160000,District,Pekin CSD 303,Pekin,Tazewell,HIGH SCHOOL,MEDIUM,1849.0,42.9,19.0,10.9,55.7,41.4,85.0,48075.72,78343.07
530903080160000,District,Washington CHSD 308,Washington,Tazewell,HIGH SCHOOL,MEDIUM,1348.0,21.7,18.0,16.1,32.9,65.9,95.0,65180.25,95030.68
530903090160000,District,East Peoria CHSD 309,East Peoria,Tazewell,HIGH SCHOOL,MEDIUM,988.0,51.0,14.0,13.4,32.5,67.5,91.8,55827.43,89211.5
530907010260000,District,Deer Creek-Mackinaw CUSD 701,Mackinaw,Tazewell,UNIT,MEDIUM,1061.0,20.5,20.0,13.5,62.9,37.1,89.6,44838.98,86119.35
530907020260000,District,Tremont CUSD 702,Tremont,Tazewell,UNIT,MEDIUM,983.0,13.1,20.0,14.3,33.0,65.4,91.8,54632.97,92978.83
530907030260000,District,Delavan CUSD 703,Delavan,Tazewell,UNIT,SMALL,472.0,37.9,15.0,10.7,63.0,37.0,87.3,42396.7,89413.33
530907090260000,District,Morton CUSD 709,Morton,Tazewell,UNIT,LARGE,3073.0,14.9,23.0,13.8,40.3,59.7,90.2,54125.66,97428.88
531020060260000,District,Fieldcrest CUSD 6,Minonk,Woodford,UNIT,MEDIUM,984.0,47.0,18.0,14.6,46.8,53.2,60.9,55323.73,90843.96
531020110260000,District,El Paso-Gridley CUSD 11,El Paso,Woodford,UNIT,MEDIUM,1227.0,37.7,18.0,16.3,46.6,53.4,78.4,52631.91,98400.73
531020210260000,District,Lowpoint-Washburn CUSD 21,Washburn,Woodford,UNIT,SMALL,339.0,50.7,14.0,16.9,64.3,32.1,87.4,47560.27,84744.22
531020600260000,District,Roanoke Benson CUSD 60,Roanoke,Woodford,UNIT,MEDIUM,503.0,23.7,17.0,16.3,50.1,49.9,93.6,55360.63,119677.67
531021220170000,District,County of Woodford School,Metamora,Woodford,HIGH SCHOOL,MEDIUM,989.0,17.3,23.0,16.4,33.3,65.1,92.9,68637.5,91870.2
531021400260000,District,Eureka CUD 140,Eureka,Woodford,UNIT,MEDIUM,1583.0,22.0,20.0,15.7,36.3,62.7,90.6,57351.75,87885.64
540920010260000,District,Bismarck Henning CUSD,Bismarck,Vermilion,UNIT,MEDIUM,599.0,35.2,19.0,12.3,57.9,42.1,84.9,43468.32,88025.2
540920020260000,District,Westville CUSD 2,Westville,Vermilion,UNIT,MEDIUM,1316.0,59.9,19.0,12.3,70.3,29.7,81.6,43718.58,87848.24
540920040260000,District,Georgetown-Ridge Farm CUD 4,Georgetown,Vermilion,UNIT,MEDIUM,973.0,60.9,19.0,13.0,67.6,30.9,77.1,41828.1,74215.0
540920070260000,District,Rossville-Alvin CUSD 7,Rossville,Vermilion,UNIT,SMALL,304.0,48.4,15.0,8.1,73.7,26.3,72.3,40634.91,97350.0
540920100260000,District,Potomac CUSD 10,Potomac,Vermilion,UNIT,SMALL,156.0,46.8,16.0,11.3,70.4,22.2,81.1,37186.95,98500.0
540920110260000,District,Hoopeston Area CUSD 11,Hoopeston,Vermilion,UNIT,MEDIUM,1238.0,66.2,17.0,10.3,69.7,30.3,70.2,44369.44,75572.27
540920760260000,District,Oakwood CUSD 76,Oakwood,Vermilion,UNIT,MEDIUM,993.0,41.5,18.0,10.4,74.7,25.3,80.1,38067.23,74466.52
540921180240000,District,Danville CCSD 118,Danville,Vermilion,UNIT,LARGE,5631.0,68.7,19.0,12.8,51.5,48.5,79.5,54446.11,91382.86
540922250170000,District,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,SMALL,134.0,42.5,9.0,11.1,50.0,50.0,83.3,45280.39,91297.33
540925120260000,District,Salt Fork Community Unit District  512,Catlin,Vermilion,UNIT,MEDIUM,907.0,42.7,19.0,15.3,58.9,41.1,89.6,49166.47,74706.32
560992020220000,District,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,27102.0,27.2,21.0,12.0,36.9,62.9,88.2,60503.68,96101.47
560992040170000,District,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,6719.0,60.2,23.0,13.2,18.3,79.9,92.0,77322.46,114960.85
560992050170000,District,Lockport Twp HSD 205,Lockport,Will,HIGH SCHOOL,LARGE,3746.0,17.8,22.0,13.9,20.3,79.7,93.1,81610.73,125175.08
560992100160000,District,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,7010.0,6.8,20.0,14.5,9.4,90.6,88.4,87160.6,121663.65
11012002C260000,District,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,1306.0,37.3,16.0,14.1,62.0,36.9,90.5,35821.66,68181.98
11012003C260000,District,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,416.0,59.6,15.0,13.8,79.1,20.9,79.5,38679.25,96472.66
11012004C260000,District,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,890.0,76.3,17.0,16.8,55.8,40.7,87.5,50516.64,89250.32
11087003A260000,District,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,356.0,66.3,14.0,13.8,73.5,26.5,91.9,41231.96,77262.0
11087005A260000,District,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,355.0,36.1,17.0,12.2,61.9,38.1,88.9,44007.12,100250.0
17053006J260000,District,Tri Point CUSD 6-J,Kempton,Livingston,UNIT,SMALL,397.0,54.9,14.0,13.9,52.6,44.9,82.3,47687.96,99982.87
51084003A260000,District,Rochester CUSD 3A,Rochester,Sangamon,UNIT,LARGE,2253.0,13.8,24.0,15.4,52.9,47.1,89.4,49273.35,89930.73
56099200U260000,District,Beecher CUSD 200U,Beecher,Will,UNIT,MEDIUM,1014.0,20.7,18.0,13.2,36.4,63.6,89.0,60866.54,93750.38
56099201U260000,District,Crete Monee CUSD 201U,Crete,Will,UNIT,LARGE,4893.0,68.5,21.0,11.7,39.3,60.7,82.3,59303.62,105027.16
56099207U260000,District,Peotone CUSD 207U,Peotone,Will,UNIT,MEDIUM,1478.0,20.6,18.0,13.9,55.2,43.8,80.6,45051.57,91263.46
56099209U260000,District,Wilmington CUSD 209U,Wilmington,Will,UNIT,MEDIUM,1355.0,42.0,20.0,11.9,47.9,49.9,88.6,47004.75,99781.38
56099255U260000,District,Reed Custer CUSD 255U,Braidwood,Will,UNIT,MEDIUM,1500.0,38.7,21.0,13.5,31.3,68.7,83.5,57410.56,107871.6
56099365U260000,District,Valley View CUSD 365U,Romeoville,Will,UNIT,LARGE,16826.0,62.4,21.0,11.8,26.8,73.0,86.2,63055.67,92895.94
